Entity1,Relation,Entity2,Frequency,Quality Score,Category
Best Shows,watch,Netflix,2,3.0,Home & Living
Thousands,attend,Proud Boyssponsored Event,2,1.0,U.S. News
Netanyahu,hold,Solid Lead Israeli Elections,2,3.0,World News
Orbit Earth Times,travel,Nearly Million Miles,1,2.0,World News
Moscow,escalate,War,1,3.0,World News
Fiona Barrels,impose,Curfew,1,3.0,World News
Family American,hold,Afghanistan,1,3.0,U.S. News
Freed Taliban Prisoner Swap Mark,kidnap,Afghanistan,1,3.0,U.S. News
First Wnba Title Chelsea Gray,name,Mvp Las Vegas,1,3.0,Sports
Afghans,escape,Taliban,1,3.0,Politics
Kim Kardashians,biochemist,Reality Star,1,4.0,Entertainment
Democrats,nominate,Slated Face Former Cranston Mayor,1,1.0,Politics
Nod Jfk Joe Biden,push,Moonshot Fight Cancer Biden Plans,1,3.0,Politics
Ani Liu,disguise,Art Science Researchbased Artist,1,4.0,Culture & Arts
Harry Styles,pay,Tribute,1,3.0,Entertainment
Iranianmanufactured Drones,use,Ukraine,1,3.0,World News
Fuel Leak,ruin,Nasas,1,3.0,Science
Nasa,delay,Late Countdown,1,3.0,U.S. News
Republicans,ignore,Trumps,1,1.0,Politics
Yung Gravy,bring,Addison Raes,1,4.0,Entertainment
Months,continue,Flooring Weaponsgrade Titanium Russian Corporations,1,3.0,World News
Supreme Court,overturn,Roe,1,3.0,Politics
Markwayne Mullin,win,Oklahoma Republican Primary Succeed Gop,1,3.0,Politics
Markwayne Mullin,win,Supporter,1,3.0,Politics
Irs,launch,Safety Review,1,3.0,Politics
Andrew Garfield,confirm,Method,1,3.0,Entertainment
Russia,begin,War Russian Invasion Ukraine,1,3.0,World News
Police File,accuse,Khan,1,3.0,World News
Mitch Mcconnell,give,Forecast Gop,1,4.0,Politics
Republicans,win,Control November Election,1,1.0,Politics
Trump Org Cfo,plead,Guilty Testify Company,1,4.0,Crime
Trump Org Cfo,plead,Allen Weisselberg,1,4.0,Crime
Nba,host,Election Day Games Effort Increase,1,3.0,Politics
Nba,host,Living States Strict Voter Suppression,1,3.0,Politics
Afghanistan,mark,Oneyear Anniversary,1,3.0,World News
Iran,deny,Involvement Justifies,1,3.0,World News
Whose Interests,defend,Congress,1,3.0,Politics
Shocking Fish Dieoff,send,Poland,1,3.0,Environment
